16120317013100054843ANCHETA MUNICIPALES  - 1              963766      00001000040501626295     00001000084001156130     00002000032501650037     0000100002100707029      00001000008501005492     00001000029501044039     00001000010501155192     0000100002400895982      00001000036502000093     00001000036501267411     00001000021502000097     0000100003100882445      00002000049502000171     00001000026501145930     00002000007901625251     0000100001415            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000
16120317013100151040ANCHETA LAJITAS - 3                   790744      00001000094901240327     00001000062501177338     00001000058001245576     0000100002250900041      0000100003990980920      0000100006800811169      00002000037001156129     00004000032501306418     0000100004600951334      00003000021001023915     00001000036001023781     000010000360013782       000010000800035357       0000100012900791435      00001000040002004292     0000100006550402267      00001000032001110314     0000100005600149963      00001000029902008278     000010000352082290       000010000150082278       0000100001500427210      00003000028302006398     00006000014501034818     0000100005830581176      00001000050001625251     0000100002500            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000
16120317013100086890ANCHETA LAJITAS - 4                   13784       00001000036701034818     00001000058302001770     00001000034501177338     0000100005800980920      0000100006800832161      00001000025501245576     00001000022501275431     00001000022001245522     00001000020501156129     0000300003250900041      00001000039901207421     0000100004400951334      00001000021001095719     0000100003800968864      0000100007700581176      00001000050001023781     00001000036001306387     00001000058501023915     00001000036001625251     0000100002500            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000
16121917013100039710ANCHETA NAVIDE¥A - 1                  773009      00001000034001245522     0000100002050960045      0000100001500647922      0000100001600697641      00001000008002002495     00001000017502000171     0000100002850963766      000010000350025895       00001000016001034826     00001000024301267411     00001000017501043998     00001000010501022611     00001000029001145930     00001000007901303940     00001000037001303714     00001000037001306314     00001000032502001068     0000100001050679092      0000100002750            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000
16121917013100039710ANCHETA NAVIDE¥A - 2                  773009      00001000034001245522     0000100002050960045      0000100001500647922      0000100001600697641      00001000008002002495     00001000017502000171     0000100002850963766      000010000350025895       00001000016001034826     00001000024301267411     00001000017501043998     00001000010501022611     00001000029001145930     00001000007901303940     00001000037001303714     00001000037001306314     00001000032502001068     00001000010501613978     0000100002750            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000
16121917013100039710ANCHETA NAVIDE¥A - 3                  773009      00001000034001245522     0000100002050960045      0000100001500647922      0000100001600697641      00001000008002002495     00001000017502000171     0000100002850963766      000010000350025895       00001000016001034826     00001000024301267411     00001000017501043998     00001000010501022611     00001000029001145930     00001000007901303940     00001000037001303714     00001000037001306314     00001000032502001068     0000100001050679075      0000100002750            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000
16121917013100039710ANCHETA NAVIDE¥A - 4                  773009      00001000034001245522     0000100002050960045      0000100001500647922      0000100001600697641      00001000008002002495     00001000017502000171     0000100002850963766      000010000350025895       00001000016001034826     00001000024301267411     00001000017501043998     00001000010501022611     00001000029001145930     00001000007901303940     00001000037001303714     00001000037001306314     00001000032502001068     00001000010501581675     0000100002600            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000
16122317013100120590ANCHETA NAVIDE¥A MONOMEROS            1290623     00001000047501107985     0000100004100492172      000010000697011209       00001000053001312865     00001000107001011569     00001000040501327714     000010002490011244       00001000092501017649     0000100015900773463      0000100021600824309      0000100013500            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000
09100209123100027840CANASTA BASICA CHAPINERO              2000152     00001000047502000171     0000100001800647923      0000100005550866863      0000100004890567652      00001000016001073047     00001000024501548359     0000100000750565879      00001000031001548343     00001000007501576794     00001000012501016605     00001000006001058666     0000100002650            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000
14112115033100009990MERCADO OLIMPICA BOGOTA 2             5384        0000100010100160250      0000100002510647925      00001000026001086425     00001000014301073043     00001000016801016605     0000100000650            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000
14112115033100018500ANCHETA SACO-2 OCCIDENTE              758950      00001000039501245522     00001000018501630420     0000100001550647922      00001000013001080297     00001000008001139376     00001000008902000171     00001000012502001064     0000100002760887954      0000100001550864150      00002000014001041488     00001000008001624855     0000100001600895998      00001000017001625251     0000100001415            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000
15101916013100019950ANCHETA SACO-2-COSTA                  816718      00001000033501245522     00001000019501630420     0000100001550647922      0000100001540697641      00001000009201139376     00001000012002000171     00001000019002001064     00001000025001041488     00001000007501624855     00001000023001050194     00001000028001625251     0000100001415            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000
15101916013100025500ANCHETA CAJA-2-COSTA                  816718      00001000033501245522     00001000019501630420     0000100001550647922      0000100001540697641      00001000009201139376     00001000012002000171     00001000019002001064     0000100002500917774      00001000011501041487     0000100002300917772      00001000027001050194     00001000015001267411     00001000017001044000     00001000007501022611     0000100002900            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000
15110616123100019900ANCHETA SACO-2-BOG/OCC                773009      00001000033501245522     00001000019501630420     0000100001550647922      0000100001540697641      00001000009201139376     00001000012002000171     00001000019002001064     00001000025001041488     00001000007501624855     00001000023001050194     00001000028001625251     0000100001415            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000
15110616123100025500ANCHETA CAJA-2-BOG/OCC                773009      00001000033501245522     00001000019501630420     0000100001550647922      0000100001540697641      00001000009201139376     00001000012002000171     00001000019002001064     0000100002500917774      00001000018001041487     0000100000750917772      00001000015001050194     00001000028001267411     00001000020001044000     00001000010001022611     0000100002900            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000
16121517013100042960ANCHETA YAZAKI N. 1                   1319240     00001000061001177338     0000100005800779431      00001000033002004292     00001000065501177502     0000100003500859091      0000100005650700361      00001000040501248484     00001000055001078663     00001000031001181805     0000100001200            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000
11122212013100050000ANCHETA YAZAKI N. 2                   1729469     0000100009900699283      00001000084501485325     00001000033001652277     00001000036501044793     00001000038401024965     000020000083580775       0000100004350718505      0000100002550561         00001000010004457        00001000010001570467     00002000015801476703     00001000026901248803     0000100003150733852      0000100001990            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000
